Road ID,Length,Numberof_Bends,Trafficvolume,AccidentRisk
1,228.98,12,1592,Low
2,481.22,5,310,Low
3,254.0,8,1874,Low
4,266.56,14,1265,Low
5,117.1,12,804,Medium
6,434.52,12,804,High
7,325.68,12,1495,Medium
8,412.72,8,1178,High
9,498.06,4,529,High
10,340.5,6,389,Medium
11,495.71,1,737,High
12,325.45,13,1288,Medium
13,429.91,14,671,High
14,116.08,1,850,Low
15,418.58,1,1459,High
16,255.03,11,910,High
17,105.43,12,1076,Low
18,478.18,2,288,High
19,130.96,6,1499,Low
20,372.79,14,701,Medium
21,278.47,4,815,Medium
22,313.55,7,885,Low
23,256.5,12,1375,Low
24,243.4,6,977,High
25,273.92,0,1405,High
26,330.95,0,1220,High
27,293.56,6,1644,Low
28,354.68,14,187,High
29,276.69,5,629,High
30,197.55,0,1120,Medium
31,110.96,14,1218,High
32,470.5,13,181,High
33,337.29,13,59,High
34,364.66,8,1397,Low
35,372.24,11,871,Medium
36,423.21,5,1173,Medium
37,374.7,8,1660,Medium
38,429.27,14,1807,Medium
39,416.3,1,770,Medium
40,418.53,6,881,Low
41,239.89,8,561,High
42,469.84,2,1679,Medium
43,148.96,1,1208,High
44,293.87,3,1033,Low
45,372.33,3,160,Low
46,175.21,12,524,High
47,371.27,5,565,High
48,231.36,14,1878,Low
49,443.37,6,1041,High
50,369.89,9,1993,High
